Index,Name,Cereals,Condiments,Dairy,Eggs,Fats & Oils,Flour,Fruits,"Herbs, Spices, Dry Seasonings, and Broths",Leavening Agents & Additives,Meat & Poultry,"Nuts, Seeds, & Beans",Seafood,Sweeteners and Flavorers,Vegetables,Alcohol,Grain
102,Chervil,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
103,Chestnut,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,Chicken,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,Chicken Stock,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106,Chickpea,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,Chickpea Flour,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,Chicory,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
109,Chiles,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
110,Chili Powder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,Chive,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
112,Chocolate,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113,Chocolate Chip,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,Chokeberry,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115,Chorizo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,Choy sum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,Chufa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,Ciabatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,Cider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,Cider Vinegar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Cilantro,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
122,Cinnamon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123,Citrus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,Clam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,Clotted Cream,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Clove,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127,Coconut,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,Coconut Milk,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
129,Cod,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,Coffee,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
131,Collard Greens,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132,Conch,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
133,Condensed Milk,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
134,Coriander,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,Corn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Corn Masa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Corn Oil,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,Corn Syrup,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,Cornflour,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,Cornish Game Hen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
141,Cornmeal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Cornstarch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Cottage Cheese,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Cottonseed Oil,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145,Court-bouillon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
146,Couscous,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Crab,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,Crabstick,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
149,Cracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,Cranberry,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
151,Crawfish,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152,Cream,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Cream Cheese,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Cream of Tartar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
155,Crème de Menthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,Crème Fraiche,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Cucumber,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
158,Cilantro,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
159,Cumin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
160,Curd,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Currant,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
162,Curry Leaf,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
163,Curry Powder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
164,Daikon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165,Dal,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
166,Dandelion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
167,Dashi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
168,Date,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
169,Demerara Sugar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
170,Dijon Mustard,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Dill,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
172,Duck,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
173,Duck Stock,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
174,Durian,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
175,Edible Cactus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
176,Eel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
177,Eel Sauce,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
178,Egg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
